formula,name,category,information,Reference,Hydrogen_storage,optimum_Hydrogen_storage,method,image
La0.7Mg0.3Ni3.2(Al0.5Mo0.5)0.8,La0.7Mg0.3Ni3.2(Al0.5Mo0.5)0.8,,"La(La, Mg)2Ni9 rhombohedral a = 5.142 ?, c = 24.797 ? (La, Mg)2Ni7 hexagonal a = 5.135 ?, c = 24.589 ? LaNi5 hexagonal a = 5.114 ?, c = 4.092 ? LaNi, a = 3.887 ?, b = 10.891 ?, c = 4.512 ? LaNi2, a = 7.320 ?","1. J. Alloys Compd. 2009, 476, 874-877.","298K, 1 MPa, 0.895 wt%.",0.895,Melting,[]
Ti0.32Mn0.22Cr0.1V0.28Ni0.2,Ti0.32Mn0.22Cr0.1V0.28Ni0.2,,"BCC phase, a = 0.29731 ? Laves phase, a = 0.48947 ?, c = 0.79782 ?","1. J. Alloys Compd. 2009, 476, 787-790.","313K, 30 bar, 1.6 wt%.",1.6,Melting,['http://www.hydrsm.csdb.cn/chuqing/00384g1.png']
Ti0.32Mn0.22Cr0.1V0.28Ni0.15,Ti0.32Mn0.22Cr0.1V0.28Ni0.15,,"BCC phase, a = 0.30015 ? Laves phase, a = 0.49137 ?, c = 0.80020 ?","1. J. Alloys Compd. 2009, 476, 787-790.","313K, 30 bar, 1.7 wt%.",1.7,Melting,['http://www.hydrsm.csdb.cn/chuqing/00383g1.png']
La0.7Mg0.3Ni4.0,La0.7Mg0.3Ni4.0,,"La(La, Mg)2Ni9 rhombohedral a = 5.006 ?, c = 24.175 ? (La, Mg)2Ni7 hexagonal a = 5.126 ?, c = 24.574 ? LaNi5 hexagonal a = 5.081 ?, c = 4.038 ? LaNi, a = 3.883 ?, b = 10.871 ?, c = 4.511 ? LaNi2, a = 7.294 ?","1. J. Alloys Compd. 2009, 476, 874-877.","298K, 1 MPa, 0.835 wt%.",0.835,Melting,[]
Ti0.32Mn0.22Cr0.1V0.28Ni0.05,Ti0.32Mn0.22Cr0.1V0.28Ni0.05,,"BCC phase, a = 0.30164 ? Laves phase, a = 0.49264 ?, c = 0.80302 ?","1. J. Alloys Compd. 2009, 476, 787-790.","313K, 30 bar, 2.23 wt%.",2.23,Melting,['http://www.hydrsm.csdb.cn/chuqing/00382g1.png']
Ti0.32Mn0.22Cr0.1V0.28,Ti0.32Mn0.22Cr0.1V0.28,,"BCC phase, a = 0.30403 ?","1. J. Alloys Compd. 2009, 476, 787-790.","313K, 30 bar, 3.36 wt%.",3.36,Melting,['http://www.hydrsm.csdb.cn/chuqing/00381g1.png']
Ti12Zr21.5V10Ni36.2Cr4.5Mn13.6Sn0.3Co2Al0.4,Ti12Zr21.5V10Ni36.2Cr4.5Mn13.6Sn0.3Co2Al0.4,,"C14 Laves phase hexagonal (P63/mmc) a = 4.975 ?, b = 4.975 ?, c = 8.118 ?","1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.67 wt%.",1.67,Melting,['http://www.hydrsm.csdb.cn/chuqing/00350g1.png']
MmNi3.5Co0.4Mn0.4Al0.4Fe0.3,MmNi3.5Co0.4Mn0.4Al0.4Fe0.3,,"hexagonal a = 5.029 ?, b = 5.029 ?, c = 4.116 ?","1. J. Alloys Compd. 2009, 476, 92-97.","293K, 10 bar, 1.05 wt%.",1.05,Melting,['http://www.hydrsm.csdb.cn/chuqing/00348g1.png']
Ti12Zr21.5V10Ni39.7Cr1Mn13.6Sn0.3Co2Al0.4,Ti12Zr21.5V10Ni39.7Cr1Mn13.6Sn0.3Co2Al0.4,,"C14 Laves phase hexagonal (P63/mmc) a = 4.969 ?, b = 4.969 ?, c = 8.106 ?","1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.53 wt%.",1.53,Melting,['http://www.hydrsm.csdb.cn/chuqing/00349g1.png']
MmNi3.6Co0.6Mn0.3Al0.3Fe0.2,MmNi3.6Co0.6Mn0.3Al0.3Fe0.2,,"hexagonal a = 5.019 ?, b = 5.019 ?, c = 4.108 ?","1. J. Alloys Compd. 2009, 476, 92-97.","293K, 10 bar, 1.11 wt%.",1.11,Melting,['http://www.hydrsm.csdb.cn/chuqing/00347g1.png']
MmNi3.8Co0.7Mn0.3Al0.2,MmNi3.8Co0.7Mn0.3Al0.2,,"hexagonal a = 4.983 ?, b = 4.983 ?, c = 4.074 ?","1. J. Alloys Compd. 2009, 476, 92-97.","293K, 10 bar, 1.21 wt%.",1.21,Melting,['http://www.hydrsm.csdb.cn/chuqing/00345g1.png']
MmNi3.9Co0.8Mn0.2Al0.1,MmNi3.9Co0.8Mn0.2Al0.1,,"hexagonal a = 4.951 ?, b = 4.951 ?, c = 4.053 ?","1. J. Alloys Compd. 2009, 476, 92-97.","293K, 10 bar, 1.26 wt%.",1.26,Melting,['http://www.hydrsm.csdb.cn/chuqing/00344g1.png']
MmNi3.7Co0.7Mn0.3Al0.3,MmNi3.7Co0.7Mn0.3Al0.3,,"hexagonal a = 5.015 ?, b = 5.015 ?, c = 4.092 ?","1. J. Alloys Compd. 2009, 476, 92-97.","293K, 10 bar, 1.16 wt%.",1.16,Melting,['http://www.hydrsm.csdb.cn/chuqing/00346g1.png']
MmNi4Al,MmNi4Al,,"hexagonal a = 5.051 ?, b = 5.051 ?, c = 4.057 ?","1. J. Alloys Compd. 2009, 476, 92-97.","293K, 10 bar, 1.30 wt%.",1.3,Melting,['http://www.hydrsm.csdb.cn/chuqing/00343g1.png']
MmNi4.2Al0.8,MmNi4.2Al0.8,,"hexagonal a = 5.036 ?, b = 5.036 ?, c = 4.052 ?","1. J. Alloys Compd. 2009, 476, 92-97.","293K, 10 bar, 1.32 wt%.",1.32,Melting,['http://www.hydrsm.csdb.cn/chuqing/00342g1.png']
Ti12Zr21.5V10Ni36.2Cr3.4Mn13.6Sn0.3Co2Al1.5,Ti12Zr21.5V10Ni36.2Cr3.4Mn13.6Sn0.3Co2Al1.5,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.63 wt%.",1.63,Melting,[]
Ti12Zr21.5V10Ni38.1Cr8.5Mn9.6Sn0.3,Ti12Zr21.5V10Ni38.1Cr8.5Mn9.6Sn0.3,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.57 wt%.",1.57,Melting,[]
Ti12Zr21.5V10Ni38.1Cr4.5Mn13.6Sn0.3,Ti12Zr21.5V10Ni38.1Cr4.5Mn13.6Sn0.3,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.61 wt%.",1.61,Melting,[]
Ti12Zr21.5V10Ni36.2Cr12.5Mn5.6Sn0.3Co2Al0.4,Ti12Zr21.5V10Ni36.2Cr12.5Mn5.6Sn0.3Co2Al0.4,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.54 wt%.",1.54,Melting,[]
Ti12Zr21.5V10Ni36.2Cr6.5Mn11.6Sn0.3Co2Al0.4,Ti12Zr21.5V10Ni36.2Cr6.5Mn11.6Sn0.3Co2Al0.4,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.50 wt%.",1.5,Melting,[]
Ti12Zr21.5V10Ni36.2Cr2.5Mn15.6Sn0.3Co2Al0.4,Ti12Zr21.5V10Ni36.2Cr2.5Mn15.6Sn0.3Co2Al0.4,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.49 wt%.",1.49,Melting,[]
Ti12Zr21.5V10Ni36.2Cr14.5Mn3.6Sn0.3Co2Al0.4,Ti12Zr21.5V10Ni36.2Cr14.5Mn3.6Sn0.3Co2Al0.4,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.39 wt%.",1.39,Melting,[]
Ti12Zr21.5V10Ni36.2Cr8.5Mn9.6Sn0.3Co2Al0.4,Ti12Zr21.5V10Ni36.2Cr8.5Mn9.6Sn0.3Co2Al0.4,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.66 wt%.",1.66,Melting,[]
Ti12Zr21.5V10Ni32.2Cr8.5Mn13.6Sn0.3Co2Al0.4,Ti12Zr21.5V10Ni32.2Cr8.5Mn13.6Sn0.3Co2Al0.4,,"C14 Laves phase hexagonal (P63/mmc) a = 4.980 ?, b = 4.980 ?, c = 8.133 ?","1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.72 wt%.",1.72,Melting,['http://www.hydrsm.csdb.cn/chuqing/00352g1.png']
MmNi4.5Al0.5,MmNi4.5Al0.5,,"hexagonal a = 4.999 ?, b = 4.999 ?, c = 4.029 ?","1. J. Alloys Compd. 2009, 476, 92-97.","293K, 10 bar, 1.36 wt%.",1.36,Melting,['http://www.hydrsm.csdb.cn/chuqing/00341g1.png']
MmNi4.7Al0.3,MmNi4.7Al0.3,,"hexagonal a = 4.984 ?, b = 4.984 ?, c = 4.018 ?","1. J. Alloys Compd. 2009, 476, 92-97.","293K, 30 bar, 1.42 wt%.",1.42,Melting?,['http://www.hydrsm.csdb.cn/chuqing/00340g1.png']
MmNi5,MmNi5,,"hexagonal a = 4.953 ?, b = 4.953 ?, c = 4.005 ?","1. J. Alloys Compd. 2009, 476, 92-97.","293K, 100 bar, 1.44 wt%.",1.44,Melting?,['http://www.hydrsm.csdb.cn/chuqing/00339g1.png']
(Mg0.45Ca0.55)Ni2.6,(Mg0.45Ca0.55)Ni2.6,,"hexagonal (R3) a = 4.9143 ?, b = 4.9143 ?, c = 35.7444 ?","1. J. Alloys Compd. 2009, 478, L33朙36.","Ambient temperature, 1 atm, 1.3%.",,"Ball milling, annealing?","['http://www.hydrsm.csdb.cn/chuqing/00336g1.png', 'http://www.hydrsm.csdb.cn/chuqing/00336g2.png']"
La(1?x)SrxFeO3 (x = 0.2),La(1?x)SrxFeO3 (x = 0.2),,Orthorhombic,"1. Electrochim. Acta 2009, 54, 3910-3914","298K, 324.4 mAh/g 333K, 543.0 mAh/g",,Stearic acid combustion,['http://www.hydrsm.csdb.cn/chuqing/00337g1.png']
Mm0.3Ml0.7Ni3.55Co0.75Mn0.4Al0.3+ 300 wt.% Ni,Mm0.3Ml0.7Ni3.55Co0.75Mn0.4Al0.3+ 300 wt.% Ni,,,"1. Int. J. hydrogen energy 2009, 34, 7291-7295.","Ambient temperature, 342 mAh/g",,Melting,['http://www.hydrsm.csdb.cn/chuqing/00335g1.png']
La(1?x)SrxFeO3 (x = 0.4),La(1?x)SrxFeO3 (x = 0.4),,Rhombohedral,"1. Electrochim. Acta 2009, 54, 3910-3914","298K, 147 mAh/g 333K, 501.5 mAh/g",,Stearic acid combustion?,['http://www.hydrsm.csdb.cn/chuqing/00338g1.png']
Mm0.3Ml0.7Ni3.55Co0.75Mn0.4Al0.3+ 250 wt.% Ni,Mm0.3Ml0.7Ni3.55Co0.75Mn0.4Al0.3+ 250 wt.% Ni,,,"1. Int. J. hydrogen energy 2009, 34, 7291-7295.","Ambient temperature, 321 mAh/g",,Melting,['http://www.hydrsm.csdb.cn/chuqing/00334g1.png']
Mm0.3Ml0.7Ni3.55Co0.75Mn0.4Al0.3+ 200 wt.% Ni,Mm0.3Ml0.7Ni3.55Co0.75Mn0.4Al0.3+ 200 wt.% Ni,,,"1. Int. J. hydrogen energy 2009, 34, 7291-7295.","Ambient temperature, 308 mAh/g",,Melting,['http://www.hydrsm.csdb.cn/chuqing/00333g1.png']
Mm0.3Ml0.7Ni3.55Co0.75Mn0.4Al0.3+ 100 wt.% Ni,Mm0.3Ml0.7Ni3.55Co0.75Mn0.4Al0.3+ 100 wt.% Ni,,,"1. Int. J. hydrogen energy 2009, 34, 7291-7295.","Ambient temperature, 300 mAh/g",,Melting,['http://www.hydrsm.csdb.cn/chuqing/00331g1.png']
Mm0.3Ml0.7Ni3.55Co0.75Mn0.4Al0.3+ 150 wt.% Ni,Mm0.3Ml0.7Ni3.55Co0.75Mn0.4Al0.3+ 150 wt.% Ni,,,"1. Int. J. hydrogen energy 2009, 34, 7291-7295.","Ambient temperature, 314 mAh/g",,Melting,['http://www.hydrsm.csdb.cn/chuqing/00332g1.png']
Ti12Zr21.5V10Ni40.2Cr6.4Mn3.1Sn0.3Co5Al1.5,Ti12Zr21.5V10Ni40.2Cr6.4Mn3.1Sn0.3Co5Al1.5,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.51 wt%.",1.51,Melting,[]
Ti12Zr21.5V10Ni40.2Cr7.2Mn1.1Sn0.3Co5Al2.7,Ti12Zr21.5V10Ni40.2Cr7.2Mn1.1Sn0.3Co5Al2.7,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.46 wt%.",1.46,Melting,[]
Ti12Zr21.5V10Ni39.7Cr5.5Mn5.1Sn0.8Co5Al0.4,Ti12Zr21.5V10Ni39.7Cr5.5Mn5.1Sn0.8Co5Al0.4,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.37 wt%.",1.37,Melting,[]
Ti12Zr21.5V10Ni40.9Cr5.5Mn3.1Sn0.3Co5Al1.7,Ti12Zr21.5V10Ni40.9Cr5.5Mn3.1Sn0.3Co5Al1.7,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.30 wt%.",1.3,Melting,[]
Ti12Zr21.5V10Ni41.5Cr5.5Mn1.1Sn0.3Co5Al3.1,Ti12Zr21.5V10Ni41.5Cr5.5Mn1.1Sn0.3Co5Al3.1,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.29 wt%.",1.29,Melting,[]
Ti12Zr21.5V10Ni32.2Cr8.5Mn10.1Sn0.3Co5Al0.4,Ti12Zr21.5V10Ni32.2Cr8.5Mn10.1Sn0.3Co5Al0.4,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.65 wt%.",1.65,Melting,[]
Ti12Zr21.5V10Ni43.3Cr1.5Mn5.1Sn0.3Co5Al1.3,Ti12Zr21.5V10Ni43.3Cr1.5Mn5.1Sn0.3Co5Al1.3,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.17 wt%.",1.17,Melting,[]
Ti12Zr21.5V10Ni41.8Cr3.5Mn5.1Sn0.3Co5Al0.8,Ti12Zr21.5V10Ni41.8Cr3.5Mn5.1Sn0.3Co5Al0.8,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.15 wt%.",1.15,Melting,[]
Ti12Zr21.5V10Ni32.2Cr7.5Mn8.1Sn0.3Co8Al0.4,Ti12Zr21.5V10Ni32.2Cr7.5Mn8.1Sn0.3Co8Al0.4,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.52 wt%.",1.52,Melting,[]
Ti12Zr21.5V10Ni36.2Cr5.5Mn6.1Sn0.3Co8Al0.4,Ti12Zr21.5V10Ni36.2Cr5.5Mn6.1Sn0.3Co8Al0.4,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.42 wt%.",1.42,Melting,[]
Ti12Zr21.5V10Ni34.2Cr6.5Mn13.6Sn0.3Co2Al0.4,Ti12Zr21.5V10Ni34.2Cr6.5Mn13.6Sn0.3Co2Al0.4,,"C14 Laves phase hexagonal (P63/mmc) a = 4.975 ?, b = 4.975 ?, c = 8.127 ?","1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.53 wt%.",1.53,Melting,['http://www.hydrsm.csdb.cn/chuqing/00351g1.png']
Mm0.3Ml0.7Ni3.55Co0.75Mn0.4Al0.3,Mm0.3Ml0.7Ni3.55Co0.75Mn0.4Al0.3,,,"1. Int. J. hydrogen energy 2009, 34, 7291-7295.","Ambient temperature, 279 mAh/g",,"Melting, mixed with PVA (Polyvinyl Alcohol)",['http://www.hydrsm.csdb.cn/chuqing/00330g1.png']
LaNi3.8Al1.0M0.2 (M= Fe),LaNi3.8Al1.0M0.2 (M= Fe),,"hexagonal ?P6/mmm? a = 5.0770 ?, b = 5.0770 ?, c = 4.0756 ?","1. J. Alloys Compd. 2009, doi:10.1016 /j.jallcom. 2009.06.111","433K, 1 MPa, 3.4 (H/M)",,Melting,['http://www.hydrsm.csdb.cn/chuqing/00329g1.png']
LaNi3.8Al1.0M0.2 (M= Cu),LaNi3.8Al1.0M0.2 (M= Cu),,"hexagonal ?P6/mmm? a = 5.0725 ?, b = 5.0725 ?, c = 4.0788 ?","1. J. Alloys Compd. 2009, doi:10.1016 /j.jallcom. 2009.06.111","433K, 1 MPa, 3.4 (H/M)",,Melting,['http://www.hydrsm.csdb.cn/chuqing/00328g1.png']
LaNi3.8Al1.0M0.2 (M= Cr),LaNi3.8Al1.0M0.2 (M= Cr),,"hexagonal ?P6/mmm? a = 5.0829 ?, b = 5.0829 ?, c = 4.0830 ?","1. J. Alloys Compd. 2009, doi:10.1016 /j.jallcom. 2009.06.111","433K, 1 MPa, 3.5 (H/M)",,Melting,['http://www.hydrsm.csdb.cn/chuqing/00327g1.png']
LaNi3.8Al1.0M0.2 (M= Mn),LaNi3.8Al1.0M0.2 (M= Mn),,"hexagonal ?P6/mmm? a = 5.0902 ?, b = 5.0902 ?, c = 4.0812 ?","1. J. Alloys Compd. 2009, doi:10.1016 /j.jallcom. 2009.06.111","433K, 1 MPa, 3.48 (H/M)",,Melting?,['http://www.hydrsm.csdb.cn/chuqing/00326g1.png']
LaNi3.8Al1.0M0.2 (M= Al),LaNi3.8Al1.0M0.2 (M= Al),,"hexagonal ?P6/mmm? a = 5.0772 ?, b = 5.0772 ?, c = 4.0813 ?","1. J. Alloys Compd. 2009, doi:10.1016 /j.jallcom. 2009.06.111","433K, 1 MPa, 3 (H/M)",,Melting?,['http://www.hydrsm.csdb.cn/chuqing/00325g1.png']
La1.6Ti0.4MgNi9,La1.6Ti0.4MgNi9,,"LaNi5 a = 5.012 ?, b = 5.012 ?, c = 3.987? LaNi3 a = 5.080 ?, b = 5.080 ?, c = 25.034 ? LaMg2Ni9 a = 4.988 ?, b = 4.988 ?, c = 24.170 ?","1. Int. J. hydrogen energy 2009, 34, 4827-4832.","303K, 20 atm 1.22 wt%",,Melting?,['http://www.hydrsm.csdb.cn/chuqing/00323g1.png']
LaNi3.8Al1.0M0.2 (M= Ni),LaNi3.8Al1.0M0.2 (M= Ni),,"LaNi5 hexagonal P6/mmm a = 5.0715 ?, b = 5.0715 ?, c = 4.0760 ?","1. J. Alloys Compd. 2009, doi:10.1016 /j.jallcom.2009.06.111","433K, 1 MPa, 3.52 (H/M)",,Melting?,['http://www.hydrsm.csdb.cn/chuqing/00324g1.png']
La1.7Ti0.3MgNi9,La1.7Ti0.3MgNi9,,"LaNi5 a = 5.027 ?, b = 5.027 ?, c = 3.987? LaNi3 a = 5.080 ?, b = 5.080 ?, c = 25.030 ? LaMg2Ni9 a = 4.990 ?, b = 4.990 ?, c = 24.180 ?","1. Int. J. hydrogen energy 2009, 34, 4827-4832.","303K, 20 atm 1.35 wt%",,Melting?,['http://www.hydrsm.csdb.cn/chuqing/00322g1.png']
La1.8Ti0.2MgNi9,La1.8Ti0.2MgNi9,,"LaNi5 a = 5.023 ?, b = 5.023 ?, c = 3.987? LaNi3 a = 5.079 ?, b = 5.079 ?, c = 25.049 ? LaMg2Ni9 a = 5.026 ?, b = 5.026 ?, c = 24.349 ?","1. Int. J. hydrogen energy 2009, 34, 4827-4832.","303K, 20 atm 1.36 wt%",,Melting?,['http://www.hydrsm.csdb.cn/chuqing/00321g1.png']
Ti12Zr21.5V10Ni36.2Cr5.5Mn9.1Sn0.3Co5Al0.4,Ti12Zr21.5V10Ni36.2Cr5.5Mn9.1Sn0.3Co5Al0.4,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.61 wt%.",1.61,Melting,[]
Ti12Zr21.5V10Ni38.2Cr5.5Mn7.1Sn0.3Co5Al0.4,Ti12Zr21.5V10Ni38.2Cr5.5Mn7.1Sn0.3Co5Al0.4,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.50 wt%.",1.5,Melting,[]
Ti12Zr21.5V10Ni40.2Cr5.5Mn5.1Sn0.3Co5Al0.4,Ti12Zr21.5V10Ni40.2Cr5.5Mn5.1Sn0.3Co5Al0.4,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.29 wt%.",1.29,Melting,[]
Ti12Zr21.5V10Ni40.2Cr3.5Mn4.1Sn0.3Co8Al0.4,Ti12Zr21.5V10Ni40.2Cr3.5Mn4.1Sn0.3Co8Al0.4,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.16 wt%.",1.16,Melting,[]
Ti12Zr21.5V10Ni43.2Cr3.5Mn4.1Sn0.3Co5Al0.4,Ti12Zr21.5V10Ni43.2Cr3.5Mn4.1Sn0.3Co5Al0.4,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.35 wt%.",1.35,Melting,[]
Ti12Zr21.5V10Ni42.2Cr5.5Mn3.1Sn0.3Co5Al0.4,Ti12Zr21.5V10Ni42.2Cr5.5Mn3.1Sn0.3Co5Al0.4,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.34 wt%.",1.34,Melting,[]
Ti12Zr21.5V10Ni44.2Cr5.5Mn4.6Sn0.3Co2Al0.4,Ti12Zr21.5V10Ni44.2Cr5.5Mn4.6Sn0.3Co2Al0.4,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.31 wt%.",1.31,Melting,[]
Ti12Zr21.5V10Ni40.2Cr8.5Mn5.6Sn0.3Co2Al0.4,Ti12Zr21.5V10Ni40.2Cr8.5Mn5.6Sn0.3Co2Al0.4,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.55 wt%.",1.55,Melting,[]
Ti12Zr21.5V10Ni46.7Cr3.5Mn4.1Sn0.3Co2Al0.4,Ti12Zr21.5V10Ni46.7Cr3.5Mn4.1Sn0.3Co2Al0.4,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.35 wt%.",1.35,Melting,[]
Ti12Zr21.5V10Ni36.2Cr1.0Mn13.6Sn0.3Co5Al0.4,Ti12Zr21.5V10Ni36.2Cr1.0Mn13.6Sn0.3Co5Al0.4,,C14 Laves phase hexagonal (P63/mmc),"1. J. Alloys Compd. 2009, 476, 774-781.","303K, 1.84 wt%.",1.84,Melting,[]
La5Mg2Ni23,La5Mg2Ni23,,"Ce2Ni7 P6/mmm a = 5.0399(4) ?, c = 24.251(7) ? Gd2Co7 R-3m a = 5.0317(3) ?, c = 36.363(2) ? LaNi5 P6/mmm a = 5.0232(3) ?, c = 3.991(0) ? Ce5Co19 R-3m a = 5.0295(7) ?, c = 48.334(6) ? Pr5Co19 P6/mmm a = 5.0386(9) ?, c = 32.260(3) ? LaMgNi4 F-43m a = 7.17","1. J. Alloy. Compd. 2009, 480, 756-760.","298K, 361.2 mAh/g",,Melting?,['http://www.hydrsm.csdb.cn/chuqing/00311g1.png']
La4Ca1Mg2Ni23,La4Ca1Mg2Ni23,,PuNi3 R-3m a = 5.0237(2) ? c =24.235(4) ? Gd2Co7 R-3m a = 5.0236(1) ? c = 36.271(1) ? CaCu5 P6/mmm a =5.0222(6) ? c = 3.985(7) ?,"1. J. Alloy. Compd. 2009, 480, 756-760.","298K, 376 mAh/g",,Melting?,['http://www.hydrsm.csdb.cn/chuqing/00312g1.png']
La0.60Zr0.15Mg0.25Ni3.2Co0.2Al0.1,La0.60Zr0.15Mg0.25Ni3.2Co0.2Al0.1,,"(La, Mg)Ni3 a = 5.029 ?, c = 24.251 ? LaNi5 a = 5.009 ?, c = 4.053 ? LaNi2","1. J. Alloy. Compd. 2009, 480, 447-553.","303K, 341 mAh/g",,Melt-spining? Quenching rate 20 m/s,['http://www.hydrsm.csdb.cn/chuqing/00309g1.png']
La0.55Zr0.20Mg0.25Ni3.2Co0.2Al0.1,La0.55Zr0.20Mg0.25Ni3.2Co0.2Al0.1,,"(La, Mg)Ni3 a = 4.961 ?, c = 24.180 ? LaNi5 a = 4.932 ?, c = 4.022 ? LaNi2","1. J. Alloy. Compd. 2009, 480, 447-553.","303K, 337.4 mAh/g",,Melt-spining? Quenching rate 20 m/s,['http://www.hydrsm.csdb.cn/chuqing/00310g1.png']
La0.65Zr0.10Mg0.25Ni3.2Co0.2Al0.1,La0.65Zr0.10Mg0.25Ni3.2Co0.2Al0.1,,"(La, Mg)Ni3 a = 5.067 ?, c = 24.318 ? LaNi5 a = 5.052 ?, c = 4.093 ? LaNi2","1. J. Alloy. Compd. 2009, 480, 447-553.","303K, 358 mAh/g",,Melt-spining? Quenching rate 20 m/s,['http://www.hydrsm.csdb.cn/chuqing/00308g1.png']
La0.70Zr0.05Mg0.25Ni3.2Co0.2Al0.1,La0.70Zr0.05Mg0.25Ni3.2Co0.2Al0.1,,"(La, Mg)Ni3 a = 5.139 ?, c = 24.366 ? LaNi5 a = 5.129 ?, c = 4.109 ? LaNi2","1. J. Alloy. Compd. 2009, 480, 447-553.","303K, 367 mAh/g",,Melt-spining? Quenching rate 20 m/s,['http://www.hydrsm.csdb.cn/chuqing/00307g1.png']
La0.55Zr0.2Mg0.25Ni3.2Co0.2Al0.1,La0.55Zr0.2Mg0.25Ni3.2Co0.2Al0.1,,"(La, Mg)Ni3 a = 4.966 ?, c = 24.167 ? LaNi5 a = 4.936 ?, c = 4.018 ? LaNi2","1. J. Alloy. Compd. 2009, 480, 447-553.","303K, 357.2 mAh/g",,Melt-spining,['http://www.hydrsm.csdb.cn/chuqing/00305g1.png']
La0.75Mg0.25Ni3.2Co0.2Al0.1,La0.75Mg0.25Ni3.2Co0.2Al0.1,,"(La, Mg)Ni3 a = 5.197 ?, c = 24.409 ? LaNi5 a = 5.189 ?, c = 4.183 ? LaNi2","1. J. Alloy. Compd. 2009, 480, 447-553.","303K, 374 mAh/g",,Melt-spining? Quenching rate 20 m/s,['http://www.hydrsm.csdb.cn/chuqing/00306g1.png']
La0.6Zr0.15Mg0.25Ni3.2Co0.2Al0.1,La0.6Zr0.15Mg0.25Ni3.2Co0.2Al0.1,,"(La, Mg)Ni3 a = 5.034 ?, c = 24.251 ? LaNi5 a = 5.012 ?, c = 4.052 ? LaNi2","1. J. Alloy. Compd. 2009, 480, 447-553.","303K, 364 mAh/g",,Melt-spining,['http://www.hydrsm.csdb.cn/chuqing/00304g1.png']
La0.65Zr0.10Mg0.25Ni3.2Co0.2Al0.1,La0.65Zr0.10Mg0.25Ni3.2Co0.2Al0.1,,"(La, Mg)Ni3 a = 5.082 ?, c = 24.301 ? LaNi5 a = 5.063 ?, c = 4.079 ? LaNi2","1. J. Alloy. Compd. 2009, 480, 447-553.","303K, 372 mAh/g",,Melt-spining,['http://www.hydrsm.csdb.cn/chuqing/00303g1.png']
